,0
0,กก
1,กขน
2,กค
3,กง
4,กซ์
5,กฎ
6,กฏ
7,กดดัน
8,กดปุ่ม
9,กดหัว
10,กท
11,กทม
12,กน
13,กนก
14,กบ
15,กปิ
16,กพส
17,กฟดกสดสฟฟสดสกสห
18,กม
19,กยศ
20,กร
21,กรก
22,กรง
23,กรณี
24,กรน
25,กรม
26,กรร
27,กรรม
28,กรรมตามสนอง
29,กรอ
30,กระ
31,กระจง
32,กระฉูด
33,กระชุ่มกระชวย
34,กระตุก
35,กระถาง
36,กระทืบ
37,กระทุ่ม
38,กระบวน
39,กระพริบตา
40,กระวนกระวาย
41,กระหาย
42,กระเซอะกระเซิง
43,กระเซ็น
44,กระเด็น
45,กระแดะ
46,กระแส
47,กรัก
48,กรัง
49,กราด
50,กราน
51,กราบ
52,กราบลา
53,กราม
54,กริบ
55,กริ๊ส
56,กรีด
57,กรีดร้อง
58,กรีน
59,กรี๊ด
60,กรี๊ส
61,กรุก
62,กรุง
63,กรุบ
64,กรุ๊ป
65,กร่อย
66,กร่าง
67,กร้อ
68,กร้าน
69,กฤช
70,กฤษฎา
71,กล
72,กลบ
73,กลอง
74,กลัดกระดุม
75,กลับ
76,กลับด้าน
77,กลับบ้าน
78,กลับเป็น
79,กลั้น
80,กลั้นใจ
81,กลา
82,กลางคน
83,กลางคัน
84,กลาด
85,กลิ่น
86,กลืน
87,กลืนน้ำลาย
88,กลืนน้ำลายตัวเอง
89,กลูต้า
90,กล่อม
91,กล้ว
92,กวง
93,กวนใจ
94,กวัด
95,กวาง
96,กวิน
97,กวิ้น
98,กว้างใหญ่
99,กสสดส
100,กสิ
101,กส์
102,กห
103,กฬ
104,กอ
105,กอง
106,กอด
107,กะ
108,กะดี
109,กะทันหัน
110,กะล่อน
111,กั
112,กัง
113,กังวล
114,กังวลใจ
115,กัญ
116,กัดฟัน
117,กันต์
118,กันที่
119,กันท่า
120,กันน้ำ
121,กันผม
122,กันลง
123,กันแดด
124,กัย
125,กัล
126,กัลยา
127,กัลเอาะ
128,กัว
129,กั้ง
130,กั๊ก
131,กา
132,กาก
133,กาง
134,กางร่ม
135,กาน
136,กานน
137,กาย
138,การกระทำ
139,การซ้อม
140,การนำ
141,กาล
142,กำ
143,กำลังดี
144,กำเริบ
145,กิ
146,กิกิ
147,กิง
148,กิงง
149,กิจ
150,กิต
151,กินกัน
152,กินดีอยู่ดี
153,กินที่
154,กินนอน
155,กินแถว
156,กิโกะ
157,กิ่ง
158,กิ่น
159,กิ้ว
160,กิ๊ก
161,กิ๊บ
162,กี
163,กี้
164,กี๊
165,กึ่งกลาง
166,กึ้ก
167,กึ้ง
168,กุ
169,กุก
170,กุด
171,กุมภ
172,กูบ
173,กู้
174,กู๊ส
175,ก็ช่าง
176,ก็เพราะว่า
177,ก็แล้วกัน
178,ก็แล้วแต่
179,ก่
180,ก่ด
181,ก่อ
182,ก่อง
183,ก่อนหน้านี้
184,ก่อนอื่น
185,ก่อนเวลา
186,ก่า
187,ก้
188,ก้กด
189,ก้คง
190,ก้ม
191,ก้อ
192,ก้ะ
193,ก้า
194,ก้าย
195,ก้าวก่าย
196,ก้าวไกล
197,ก้าเรน
198,ก้ำ
199,ก้ำกึ่ง
200,ก๊อก
201,ก๊อกแก๊ก
202,ก๊อน
203,ขก
204,ขกตบ
205,ขกว้วย
206,ขขวก
207,ขดตัว
208,ขนของ
209,ขนาด
210,ขนาดที่
211,ขนาดเล็ก
212,ขนาดใหญ่
213,ขบวน
214,ขม
215,ขยายเวลา
216,ขยี้
217,ขรรม
218,ขรั่บ
219,ขร้ะ
220,ขลิบ
221,ขวบ
222,ขวา
223,ขวางหน้า
224,ขวางหูขวางตา
225,ขวามือ
226,ขว้าง
227,ขอ
228,ขอก
229,ขอความกรุณา
230,ขอความช่วยเหลือ
231,ขอความเห็น
232,ขอคืนดี
233,ของขึ้น
234,ขอทาง
235,ขอที
236,ขอบ
237,ขอพร
238,ขอยืม
239,ขอรับ
240,ขอร้อง
241,ขอลา
242,ขออนุญาต
243,ขออภัย
244,ขอเวลา
245,ขอแรง
246,ขอโทษ
247,ขะ
248,ขัดตา
249,ขัดหู
250,ขัดใจ
251,ขัน
252,ขั่บ
253,ขาดความมั่นใจ
254,ขาดเรียน
255,ขาดใจ
256,ขาดใจตาย
257,ขายของ
258,ขายตรง
259,ขายตัว
260,ขายต่อ
261,ขายส่ง
262,ขาลาก
263,ขาออก
264,ขาเข้า
265,ขา้ว
266,ขำ
267,ขิบ
268,ขี
269,ขีด
270,ขี่
271,ขี่ม้า
272,ขี้
273,ขี้บ่น
274,ขี้ริ้วขี้เหร่
275,ขี้ลืม
276,ขี้หึง
277,ขี้อาย
278,ขี้อิจฉา
279,ขี้เกรงใจ
280,ขี้เกียจ
281,ขี้เมา
282,ขี้เล่น
283,ขี้เหงา
284,ขี้เหร่
285,ขี้แง
286,ขึัน
287,ขึ้นคาน
288,ขึ้นชื่อ
289,ขึ้นปาก
290,ขึ้นฝั่ง
291,ขึ้นสมอง
292,ขึ้นหน้า
293,ขึ้นเสียง
294,ขุน
295,ขุ่น
296,ขุ๊น
297,ขูด
298,ข่ม
299,ข่วง
300,ข่วน
301,ข่วย
302,ข่อ
303,ข่ะ
304,ข่า
305,ข้น
306,ข้อ
307,ข้องใจ
308,ข้อมูล
309,ข้า
310,ข้าง
311,ข้างนอก
312,ข้างบน
313,ข้างล่าง
314,ข้างหน้า
315,ข้างเดียว
316,ข้างใน
317,ข้ามถนน
318,ข้ามหัว
319,ขํ
320,คติ้ง
321,คถ
322,คถคน
323,คทอเรีย
324,คทา
325,คน
326,คนกันเอง
327,คนละชั้น
328,คบ
329,คพฤ
330,คม
331,คย
332,คร
333,ครส
334,ครอง
335,ครอบครอง
336,ครอส
337,คระ
338,ครับผม
339,ครัฟ
340,ครัล
341,ครัว
342,ครั้งก่อน
343,ครั้งนี้
344,ครั้งสุดท้าย
345,ครั้งแรก
346,ครา
347,คราง
348,คราย
349,ครึ
350,ครึ่งทาง
351,ครึ้ม
352,ครุ
353,ครุก
354,ครุ่น
355,ครู่
356,คร่ะ
357,คร่า
358,คร่าว
359,คร้บ
360,คร้าบ
361,คร๊าบ
362,คล
363,คลอ
364,คลอเคลีย
365,คละ
366,คลั่งไคล้
367,คลา
368,คลาย
369,คลาส
370,คลิก
371,คลิบ
372,คลี
373,คลี่คลาย
374,คลุกคลี
375,คลุม
376,คล้อง
377,คล้ำ
378,คว
379,ควง
380,ควบคู่กันไป
381,ควรจะเป็น
382,ควอ
383,ควัก
384,ควัน
385,ควาน
386,คสพ
387,คสอ
388,คห
389,คอก
390,คอน
391,คอนเฟิร์ม
392,คอิ้ง
393,คะใน
394,คะ่
395,คั
396,คัค
397,คัง
398,คัช
399,คัด
400,คัตชู
401,คัทชู
402,คัน
403,คับ
404,คับบ
405,คัพ
406,คัฟ
407,คัย
408,คั่
409,คั่น
410,คั้บ
411,คั้บบ
412,คา
413,คาง
414,คาบ
415,คาบเส้น
416,คาใจ
417,คิ
418,คิขุ
419,คิคิ
420,คิง
421,คิดดู
422,คิดผิด
423,คิดมาก
424,คิดไปคิดมา
425,คิดไม่ออก
426,คิส
427,คิ้ว
428,คีตกวี
429,คีบ
430,คีส
431,คึ
432,คึก
433,คึคึ
434,คึด
435,คึดเติง
436,คืด
437,คืนดี
438,คือะ
439,คุ
440,คุก
441,คุง
442,คุด
443,คุม
444,คุย
445,คุยเก่ง
446,คุรุสภา
447,คุ้น
448,คู
449,คูน
450,คู่
451,คู่ขนาน
452,คู่ครอง
453,คู่ควร
454,คู้
455,ค็อต
456,ค่
457,ค่อนข้างจะ
458,ค่อยเป็นค่อยไป
459,ค้อ
460,ค้ะ
461,ค้าบ
462,ค๊ะ
463,ค๊า
464,ค์
465,ฆ่า
466,ฆ่าเวลา
467,ฆ้อง
468,ง
469,งก
470,งก้
471,งค์
472,งง
473,งชุ้น
474,งด
475,งม
476,งมงาย
477,งรือ
478,งอ
479,งอก
480,งอด
481,งอน
482,งอย
483,งอแง
484,งะ
485,งับ
486,งัย
487,งั่ง
488,งั่ม
489,งั้น
490,งั้บ
491,งั้บบ
492,งาม
493,งาย
494,งิ
495,งิงิ
496,งีบ
497,งียบ
498,งี่เง่า
499,งี้
500,งึด
501,งึ๋ย
502,งืม
503,งือ
504,งือกด
505,งือขอ
506,งืออ
507,งื่ม
508,งื่อ
509,งื้อ
510,งื้ออ
511,งุ
512,งุงิ
513,งุนงง
514,งุ้ย
515,งู
516,งู้น
517,งู้ย
518,งเกิ้ล
519,งแง้ง
520,งโค่ด
521,งไเร๊ออ
522,ง่
523,ง่นเพื้อ
524,ง่ย
525,ง่วง
526,ง่วงนอน
527,ง่อม
528,ง่อว
529,ง่อวว
530,ง่ะ
531,ง่า
532,ง้อ
533,ง้ะ
534,ง้า
535,ง้าง
536,ง้าบ
537,ง้าบบ
538,ง้าย
539,ง๊ง
540,ง๊งง
541,ง๊า
542,ง๊าน
543,จงใจ
544,จนปัญญา
545,จนมุม
546,จนได้
547,จบกัน
548,จฟอร์ทอร์ค
549,จม
550,จย้า
551,จร
552,จราง
553,จราจร
554,จริงอยู่
555,จริ้ง
556,จริ๊ง
557,จร๊
558,จร๊า
559,จศ
560,จสก
561,จฬ
562,จอ
563,จอก
564,จองแล้ว
565,จอน
566,จอม
567,จอมเกล้า
568,จะแจ้ง
569,จัก
570,จักร
571,จักรพงษ์
572,จัญ
573,จัตุ
574,จัน
575,จันทร์
576,จันท์
577,จับ
578,จับกลุ่ม
579,จับได้
580,จัย
581,จั้ก
582,จั้ง
583,จา
584,จากกัน
585,จากนี้
586,จากไป
587,จาง
588,จาน
589,จาม
590,จาร
591,จำใจ
592,จำได้
593,จำไว้
594,จิ
595,จิก
596,จิง
597,จิงจัง
598,จิต
599,จิตร
600,จิน
601,จิมมี่
602,จิ้กจก
603,จิ้ง
604,จิ้น
605,จิ้ม
606,จิ้ย
607,จี
608,จีง
609,จีบ
610,จี้
611,จี๋
612,จึ
613,จึ้กจึ้กจึ้ก
614,จึ้น
615,จึ้ย
616,จึ๊ก
617,จืด
618,จุก
619,จุด
620,จุ้ง
621,จุ้บจุ้บ
622,จุ้ย
623,จุ๊บ
624,จู
625,จูง
626,จูงมือ
627,จูน
628,จูบ
629,จู่
630,จู้
631,จู๋
632,จ่ะ
633,จ่า
634,จ้อ
635,จ้องดู
636,จ๊น
637,จ๊นน
638,จ๊บ
639,จ๊วด
640,จ๊า
641,จ๊าบ
642,จ๊าป
643,จ๋วย
644,จ์
645,จํา
646,ฉฉ
647,ฉอ
648,ฉอง
649,ฉอด
650,ฉัก
651,ฉาก
652,ฉาว
653,ฉิบหาย
654,ฉีก
655,ฉีดยา
656,ฉี่
657,ฉุด
658,ฉ้อ
659,ช
660,ชง
661,ชช
662,ชชั่น
663,ชญ
664,ชด
665,ชน
666,ชนะ
667,ชนะสงคราม
668,ชนะใจ
669,ชม
670,ชมัน
671,ชมา
672,ชลี
673,ชว่ง
674,ชห
675,ชอน
676,ชอบกล
677,ชอบแล้ว
678,ชอป
679,ชอปบัฟ
680,ชออบ
681,ชะมัด
682,ชะลอ
683,ชะโงก
684,ชัช
685,ชัต
686,ชัท
687,ชัย
688,ชัว
689,ชัวร์
690,ชัวว
691,ชั่น
692,ชั่ว
693,ชั้น
694,ชั้นดี
695,ชั้นสอง
696,ชั้นใน
697,ชา
698,ชาญ
699,ชาติ
700,ชาน
701,ชานุ
702,ชาม
703,ชาย
704,ชาร์ต
705,ชิ
706,ชิด
707,ชิน
708,ชิบ
709,ชิบหาย
710,ชิป
711,ชิพ
712,ชิล
713,ชิโนรส
714,ชิ่ง
715,ชี
716,ชีพ
717,ชี่
718,ชืฟ
719,ชื่น
720,ชื่อว่า
721,ชุก
722,ชุด
723,ชุม
724,ชุ้
725,ชุ้ง
726,ชุ้น
727,ชู
728,ชู่
729,ชู้
730,ช็อต
731,ช่ว
732,ช่วง
733,ช่วบ
734,ช่วยตัวเอง
735,ช่วยไม่ได้
736,ช่อ
737,ช่อง
738,ช่ะ
739,ช่า
740,ช่างมัน
741,ช้ว
742,ช้วน
743,ช้ะ
744,ช้ำ
745,ช้ำใจ
746,ช๊อต
747,ซน
748,ซบ
749,ซวย
750,ซอ
751,ซอง
752,ซอน
753,ซอม
754,ซอย
755,ซะงั้น
756,ซัง
757,ซัต
758,ซัน
759,ซับ
760,ซัม
761,ซัล
762,ซั่ด
763,ซั้ง
764,ซา
765,ซาน
766,ซาลง
767,ซาว
768,ซิ
769,ซิก
770,ซิบ
771,ซิป
772,ซิ่
773,ซิ่ง
774,ซิ่ว
775,ซิ๊
776,ซี
777,ซึน
778,ซึม
779,ซึ้ง
780,ซืน
781,ซื่อ
782,ซื่อบื้อ
783,ซื้อของ
784,ซื้อหน้า
785,ซุ
786,ซุก
787,ซุง
788,ซุม
789,ซุ่ม
790,ซุ้ม
791,ซู
792,ซูกัส
793,ซู่ซ่า
794,ซเอ็กอิ้งเปน
795,ซ่า
796,ซ้อ
797,ซ้อม
798,ซ้าย
799,ซ้ำชั้น
800,ซ้ำรอย
801,ซ้ำแล้วซ้ำเล่า
802,ซ์
803,ฌน
804,ญ
805,ญญ
806,ญป
807,ญาณ
808,ญาต
809,ญาติ
810,ญ่
811,ฎา
812,ฏ
813,ฏกษัต
814,ฑล
815,ณณ
816,ณย
817,ณยป
818,ณศิ
819,ณี
820,ณู
821,ณ์
822,ด
823,ดง
824,ดด
825,ดพล
826,ดม
827,ดมื่อ
828,ดยด
829,ดร็อป
830,ดล
831,ดวน
832,ดสสพสสพ
833,ดสห
834,ดอ
835,ดอง
836,ดอด
837,ดอน
838,ดอม
839,ดอรร
840,ดอร์
841,ดอสต
842,ดอิ้ง
843,ดะ
844,ดักรอ
845,ดัช
846,ดัด
847,ดันทุรัง
848,ดัมส์
849,ดั่ย
850,ดั้ง
851,ดั้น
852,ดั้ย
853,ดา
854,ดาด
855,ดำเนินชีวิต
856,ดำไร
857,ดิ
858,ดิชั้น
859,ดิน
860,ดิส
861,ดิ่
862,ดิ่ง
863,ดิ้น
864,ดิ๊
865,ดี
866,ดีกรี
867,ดีกัน
868,ดีขึ้น
869,ดีงาม
870,ดีจริง
871,ดีด
872,ดีมาก
873,ดีแต่
874,ดีใจ
875,ดีไม่ดี
876,ดี้
877,ดี๊
878,ดึก
879,ดึกดื่น
880,ดึ๊บ
881,ดือ
882,ดื่น
883,ดื่มได้
884,ดื่อ
885,ดื๊อ
886,ดุ
887,ดุม
888,ดูก่อน
889,ดูดิ
890,ดูดี
891,ดูออก
892,ดูแลตัวเอง
893,ดูไม่ได้
894,ดู๊ด
895,ดฺ์
896,ด่วน
897,ด่วย
898,ด่า
899,ด่าง
900,ด่าน
901,ด้ว
902,ด้วยซ้ำ
903,ด้วยใจ
904,ด้อย
905,ด้ะ
906,ด้านนอก
907,ด้านล่าง
908,ด้านส่ง
909,ด้านหน้า
910,ด้านหลัง
911,ด้านใน
912,ด๊วย
913,ด๊วยยน
914,ด๋อย
915,ด์
916,ต
917,ตกหนัก
918,ตกใจ
919,ตกไป
920,ตก้
921,ตค
922,ตคน
923,ตง
924,ตจว
925,ตซ์
926,ตด
927,ตต
928,ตท
929,ตธ
930,ตบ
931,ตปท
932,ตยฝน
933,ตรฃ
934,ตรงกลาง
935,ตรงกันข้าม
936,ตรงจุด
937,ตรงนั้น
938,ตรงนี้
939,ตรงเวลา
940,ตระเวน
941,ตรัง
942,ตรับ
943,ตรัย
944,ตรี
945,ตรึม
946,ตรู
947,ตลด
948,ตลิ้ง
949,ตล๊ก
950,ตวจ
951,ตส์
952,ตอ
953,ตอกกลับ
954,ตอกย้ำ
955,ตอน
956,ตอนที่
957,ตอนนั้น
958,ตอนนี้
959,ตอนแรก
960,ตอบกลับ
961,ตะ
962,ตะคอก
963,ตะนาว
964,ตะโกน
965,ตัก
966,ตัง
967,ตัดกัน
968,ตัดขาด
969,ตัดความสัมพันธ์
970,ตัดผ่าน
971,ตัดพ้อ
972,ตัดใจ
973,ตัดไม่ขาด
974,ตัน
975,ตัย
976,ตัล
977,ตัวต่อตัว
978,ตัวร้อน
979,ตัวสั่น
980,ตัวไร
981,ตัส
982,ตัอง
983,ตั่ง
984,ตั้
985,ตั้งตัว
986,ตั้งตารอ
987,ตั้งท้อง
988,ตั้งปี
989,ตั้งหน้า
990,ตั้งเวลา
991,ตั้งแต่แรก
992,ตั้งโต๊ะ
993,ตั้งใจฟัง
994,ตั้น
995,ตั้ลล๊าค
996,ตา
997,ตาก
998,ตาจน
999,ตามทัน
1000,ตามหา
1001,ตามเรื่อง
1002,ตามเวลา
1003,ตายห่า
1004,ตำ
1005,ติ
1006,ติง
1007,ติดกับ
1008,ติดจะ
1009,ติดตัว
1010,ติดตา
1011,ติดนิสัย
1012,ติดฝน
1013,ติดอยู่ในใจ
1014,ติว
1015,ติ่
1016,ติ่ง
1017,ติ้ง
1018,ตีตัวออกห่าง
1019,ตีสาม
1020,ตีสาย
1021,ตีห้า
1022,ตี้
1023,ตี้บ
1024,ตี้เบิน
1025,ตี๋
1026,ตึ
1027,ตึง
1028,ตึ่ง
1029,ตึ่งโป้ะ
1030,ตึ้บ
1031,ตึ๋ง
1032,ตื
1033,ตื่น
1034,ตื่นขึ้น
1035,ตื่นนอน
1036,ตื้นตันใจ
1037,ตื้อ
1038,ตื๊ด
1039,ตุ
1040,ตุน
1041,ตุ่ม
1042,ตุ่ย
1043,ตุ้
1044,ตุ้ด
1045,ตุ้บ
1046,ตู
1047,ตู่
1048,ตู้
1049,ตเวย์
1050,ต็อค
1051,ต่อกัน
1052,ต่อจากนี้
1053,ต่อย
1054,ต่อหน้า
1055,ต่อหัว
1056,ต่อเรือ
1057,ต่อให้
1058,ต่าย
1059,ต่ำกว่า
1060,ต้ม
1061,ต้ว
1062,ต้อ
1063,ต้องสู้
1064,ต้องหา
1065,ต้ะ
1066,ต้า
1067,ต้าขอ
1068,ต้าผม
1069,ต้ามช
1070,ต้าร์
1071,ต้าลง
1072,ต๊กเค
1073,ต๋า
1074,ต์
1075,ถ
1076,ถภภ
1077,ถม
1078,ถลน
1079,ถลอก
1080,ถวาย
1081,ถอยหลัง
1082,ถอยห่าง
