,stopword
0,นี้
1,นํา
2,นั้น
3,นัก
4,ที่
5,ทั้งนี้
6,จาก
7,จะ
8,ความ
9,ครั้ง
10,คง
11,น่า
12,เข้า
13,ถึง
14,ต่อ
15,ตั้งแต่
16,ตั้ง
17,ด้าน
18,ด้วย
19,อีก
20,อาจ
21,อย่าง
22,แต่
23,เมื่อ
24,เพื่อ
25,หลัง
26,หนึ่ง
27,ส่วน
28,สุด
29,ราย
30,ขณะ
31,ก็
32,การ
33,กัน
34,กว่า
35,จึง
36,ไว้
37,ไป
38,ได้
39,โดย
40,แห่ง
41,แล้ว
42,และ
43,ทั้ง
44,เคย
45,ขั้น
46,ไง
47,จง
48,ซึ่งก็
49,ซึ่งก็คือ
50,ซึ่งได้แก่
51,ณ
52,ด้วย
53,ด้วยเช่นกัน
54,ด้วยที่
55,ด้วยประการฉะนี้
56,ด้วยเพราะ
57,ด้วยว่า
58,ด้วยเหตุที่
59,ด้วยเหตุนั้น
60,ด้วยเหตุนี้
61,ด้วยเหตุเพราะ
62,ด้วยเหตุว่า
63,ด้วยเหมือนกัน
64,ดั่ง
65,ดังกับ
66,ดั่งกับ
67,ดังกับว่า
68,ดั่งกับว่า
69,ดังเก่า
70,ดั่งเก่า
71,ดังเคย
72,ตลอดจน
73,ตลอดถึง
74,ตลอดทั้ง
75,ตลอดทั่ว
76,ตลอดทั่วถึง
77,ตลอดทั่วทั้ง
78,ตลอดไป
79,ตลอดมา
80,ถึงจะ
81,ถึงเมื่อ
82,ถึงแม้
83,ถึงแม้จะ
84,ถึงแม้ว่า
85,ถึงอย่างไร
86,เถอะ
87,เถิด
88,ทั้งนั้น
89,ทั้งนั้นด้วย
90,ทั้งนั้นเพราะ
91,นอกจากที่
92,นอกจากนั้น
93,นอกจากนี้
94,นอกจากว่า
95,นอกนั้น
96,นอกเหนือ
97,นอกเหนือจาก
98,นะ
99,น่ะ
100,นักๆ
101,นั่น
102,นั่นไง
103,นั่นเป็น
104,นั่นแหละ
105,นั่นเอง
106,นั้นๆ
107,เป็นต้น
108,เป็นต้นไป
109,เป็นต้นมา
110,เป็นแต่
111,เป็นแต่เพียง
112,เป็นที
113,เป็นที่
114,เป็นเพราะ
115,เป็นเพราะว่า
116,เป็นเพียง
117,เป็นเพียงว่า
118,เป็นเพื่อ
119,เป็นอัน
120,เป็นอันมาก
121,เป็นอันว่า
122,เป็นอาทิ
123,ไป่
124,ผู้
125,เพียงเพื่อ
126,เพื่อที่
127,เพื่อที่จะ
128,เพื่อว่า
129,เพื่อให้
130,ภายภาค
131,ภายภาคหน้า
132,ภายหน้า
133,ภายหลัง
134,สู่
135,สูงกว่า
136,เสร็จกัน
137,เสร็จแล้ว
138,เสร็จสมบูรณ์
139,เสร็จสิ้น
140,เสียก่อน
141,เสียจน
142,เสียจนกระทั่ง
143,เสียจนถึง
144,เสียด้วย
145,เสียนั่น
146,เสียนั่นเอง
147,เสียนี่
148,เสียนี่กระไร
149,เสียยิ่ง
150,เสียยิ่งนัก
151,เสียแล้ว
152,อนึ่ง
153,อย่าง
154,อย่างเช่น
155,อย่างเดียว
156,อย่างที่
157,อย่างนั้น
158,อย่างนี้
159,อย่างโน้น
160,ก็ตามแต่
161,กระทั่ง
162,กระนั้น
163,กลุ่มก้อน
164,กลุ่มๆ
165,กว้างๆ
166,กำลัง
167,กำลังจะ
168,ข้างต้น
169,คงจะ
170,คงอยู่
171,ครั้งครา
172,ครั้งคราว
173,ครั้งหนึ่ง
174,ครั้งหลัง
175,ครั้งๆ
176,ครับ
177,ครานั้น
178,ครานี้
179,คราหนึ่ง
180,คราว
181,คราวก่อน
182,คราวที่
183,คราวนั้น
